measurement;ID;ID2;date;d18O;x;y;SE_permill;SE_percent;OH;Distance_um
2;D;BH-00392;12.09.2021;-5.4196467;-6775;33;0.18;0.04;0.039;1796.510507
3;D;BH-00392;12.09.2021;-7.3693668;-6764;66;0.17;0.05;0.0379;1761.732102
4;D;BH-00392;12.09.2021;-6.4090569;-6753;99;0.15;0.05;0.0367;1726.953966
5;D;BH-00392;12.09.2021;-6.3411562;-6742;132;0.2;0.09;0.0342;1692.176114
6;D;BH-00392;12.09.2021;-3.5572275;-6731;165;0.19;0.07;0.0359;1657.398564
7;D;BH-00392;12.09.2021;-4.1586337;-6720;198;0.22;0.07;0.0363;1622.621336
8;D;BH-00392;12.09.2021;-6.6224591;-6709;231;0.21;0.06;0.0361;1587.844451
9;D;BH-00392;12.09.2021;-7.5924691;-6698;264;0.14;0.07;0.0349;1553.067932
10;D;BH-00392;12.09.2021;-8.4266777;-6687;297;0.2;0.09;0.0353;1518.291803
11;D;BH-00392;12.09.2021;-5.933752;-6676;330;0.19;0.09;0.0371;1483.516094
12;D;BH-00392;12.09.2021;-6.2635554;-6665;363;0.2;0.14;0.0355;1448.740833
13;D;BH-00392;12.09.2021;-7.1268643;-6654;396;0.16;0.14;0.036;1413.966053
14;D;BH-00392;12.09.2021;-8.2423758;-6642;429;0.19;0.1;0.0372;1378.852059
15;D;BH-00392;12.09.2021;-6.6321592;-6630;462;0.19;0.11;0.0374;1343.73807
16;D;BH-00392;12.09.2021;-6.8940619;-6618;495;0.14;0.12;0.0373;1308.624087
17;D;BH-00392;12.09.2021;-6.3993568;-6606;528;0.23;0.08;0.0352;1273.51011
18;D;BH-00392;12.09.2021;-7.2529656;-6594;561;0.15;0.08;0.0368;1238.39614
19;D;BH-00392;12.09.2021;-7.2432655;-6582;594;0.2;0.09;0.0406;1203.282178
20;D;BH-00392;12.09.2021;-8.1550749;-6570;627;0.18;0.05;0.0386;1168.168224
21;D;BH-00392;12.09.2021;-8.3975774;-6558;660;0.18;0.09;0.039;1133.054279
22;D;BH-00392;12.09.2021;-5.6524491;-6546;693;0.12;0.04;0.0361;1097.940344
23;D;BH-00392;12.09.2021;-6.7970609;-6534;726;0.14;0.08;0.0385;1062.82642
24;D;BH-00392;12.09.2021;-9.1735854;-6522;759;0.21;0.16;0.0436;1027.712508
25;D;BH-00392;12.09.2021;-9.2414861;-6510;792;0.16;0.08;0.0436;992.5986097
26;D;BH-00392;12.09.2021;-8.9989836;-6498;825;0.19;0.08;0.0434;957.4847257
27;D;BH-00392;12.09.2021;-8.6400799;-6486;858;0.23;0.14;0.041;922.3708582
28;D;BH-00392;12.09.2021;-8.5139786;-6474;891;0.17;0.15;0.0404;887.257009
29;D;BH-00392;12.09.2021;-7.8446717;-6462;924;0.17;0.09;0.0389;852.1431805
30;D;BH-00392;12.09.2021;-6.2829556;-6450;957;0.23;0.09;0.0411;817.0293752
31;D;BH-00392;12.09.2021;-7.0201632;-6438;990;0.18;0.03;0.0403;781.9155965
32;D;BH-00392;12.09.2021;-8.2520759;-6426;1023;0.18;0.11;0.0423;746.8018479
33;D;BH-00392;12.09.2021;-8.7273808;-6414;1056;0.22;0.16;0.0401;711.6881339
34;D;BH-00392;12.09.2021;-8.5042785;-6402;1089;0.19;0.16;0.0413;676.5744601
35;D;BH-00392;12.09.2021;-8.1259746;-6390;1122;0.16;0.16;0.0406;641.4608328
36;D;BH-00392;12.09.2021;-7.9125724;-6378;1155;0.15;0.2;0.0403;606.3472602
37;D;BH-00392;12.09.2021;-8.2423758;-6366;1188;0.19;0.18;0.0404;571.2337525
38;D;BH-00392;12.09.2021;-6.6321592;-6354;1221;0.17;0.11;0.0397;536.1203223
39;D;BH-00392;12.09.2021;-5.7106497;-6342;1254;0.16;0.1;0.0394;501.006986
40;D;BH-00392;12.09.2021;-7.0492635;-6330;1287;0.16;0.08;0.0392;465.8937647
41;D;BH-00392;12.09.2021;-6.1180539;-6318;1320;0.19;0.04;0.0406;430.7806867
42;D;BH-00392;12.09.2021;-6.0889536;-6306;1353;0.14;0.2;0.0169;395.6677899
43;D;BH-00392;12.09.2021;-5.836751;-6294;1386;0.25;0.13;0.0245;360.5551275
44;D;BH-00392;12.09.2021;-6.5351582;-6282;1420;0.19;0.52;0.037;324.4996148
45;D;BH-00392;12.09.2021;-6.9522625;-6270;1454;0.21;0.35;0.0398;288.444102
46;D;BH-00392;12.09.2021;-7.67977;-6258;1488;0.2;0.05;0.039;252.3885893
47;D;BH-00392;12.09.2021;-7.4469676;-6246;1522;0.19;0.09;0.0384;216.3330765
48;D;BH-00392;12.09.2021;-5.9434521;-6234;1556;0.18;0.14;0.0393;180.2775638
49;D;BH-00392;12.09.2021;-7.5924691;-6222;1590;0.15;0.15;0.0393;144.222051
50;D;BH-00392;12.09.2021;-7.4275674;-6210;1624;0.19;0.08;0.0407;108.1665383
51;D;BH-00392;12.09.2021;-8.0871742;-6198;1658;0.2;0.06;0.0398;72.11102551
52;D;BH-00392;12.09.2021;-7.8640719;-6186;1692;0.19;0.16;0.0394;36.05551275
53;D;core;12.09.2021;-8.1259746;-6174;1726;0.19;0.13;0.038;0
1;E;margin;12.09.2021;NA;-5600;2798;0.23;0.13;0.0395;1433.602804
2;E;BH-00398;12.09.2021;-6.0695534;-5566;2805;0.18;0.08;0.035;1398.891704
3;E;BH-00398;12.09.2021;-4.6048383;-5532;2812;0.14;0.24;0.0388;1364.180707
4;E;BH-00398;12.09.2021;-6.7194601;-5498;2819;0.17;0.06;0.0409;1329.469819
5;E;BH-00398;12.09.2021;-8.1744751;-5464;2827;0.19;0.07;0.0425;1294.546253
6;E;BH-00398;12.09.2021;-6.5933588;-5430;2834;0.18;0.09;0.0388;1259.835307
7;E;BH-00398;12.09.2021;-7.1462645;-5396;2842;0.21;0.15;0.0372;1224.911834
8;E;BH-00398;12.09.2021;-8.3684771;-5362;2849;0.21;0.09;0.0365;1190.200823
9;E;BH-00398;12.09.2021;-7.4760679;-5328;2857;0.18;0.3;0.038;1155.277456
10;E;BH-00398;12.09.2021;-6.0501532;-5294;2864;0.2;0.12;0.0359;1120.566375
11;E;BH-00398;12.09.2021;-7.0589636;-5260;2871;0.13;0.13;0.0347;1085.855423
12;E;BH-00398;12.09.2021;-8.1065744;-5226;2879;0.2;0.06;0.04;1050.931967
13;E;BH-00398;12.09.2021;-5.6912495;-5192;2886;0.19;0.05;0.0356;1016.220941
14;E;BH-00398;12.09.2021;-7.1268643;-5158;2894;0.18;0.15;0.035;981.2976103
15;E;BH-00398;12.09.2021;-7.6506697;-5124;2901;0.17;0.08;0.0365;946.586499
16;E;BH-00398;12.09.2021;-8.455778;-5090;2909;0.21;0.16;0.0367;911.663315
17;E;BH-00398;12.09.2021;-7.7864711;-5056;2916;0.2;0.11;0.0368;876.9521082
18;E;BH-00398;12.09.2021;-8.6982805;-5022;2924;0.29;0.17;0.039;842.0290969
19;E;BH-00398;12.09.2021;-7.2626657;-4988;2931;0.22;0.04;0.0407;807.3177813
20;E;BH-00398;12.09.2021;-6.1762545;-4954;2938;0.2;0.03;0.0366;772.6066269
