measurement;ID;ID2;date;d18O;x;y;SE_permill;SE_percent;OH;site;Distance_um
26;20;BH-01802;04.06.2021;-8.5333788;-1994;-3456;0.1;0.065;0.05;WRB;230.2020851
27;20;BH-01802;04.06.2021;-6.515758;-2016;-3488;0.108;0.054;0.046;WRB;191.3765921
28;20;BH-01802;04.06.2021;-7.2529656;-2037;-3520;0.134;0.036;0.051;WRB;153.1012737
29;20;BH-01802;04.06.2021;-8.358777;-2058;-3552;0.13;0.026;0.051;WRB;114.8259553
30;20;BH-01802;04.06.2021;-6.9619626;-2079;-3584;0.149;0.054;0.045;WRB;76.55063684
31;20;BH-01802;05.06.2021;-8.7370809;-2100;-3616;0.128;0.035;0.05;WRB;38.27531842
32;20;core;05.06.2021;-7.9222725;-2121;-3648;0.116;0.206;0.047;WRB;0
1;21;margin;05.06.2021;-6.7679606;5253;2448;0.012;0.093;0.051;WRB;2053.90214
2;21;BH-01868;05.06.2021;-7.6991702;5218;2468;0.014;0.147;0.046;WRB;2013.605969
3;21;BH-01868;05.06.2021;-6.5545584;5183;2488;0.009;0.11;0.043;WRB;1973.310417
4;21;BH-01868;05.06.2021;-6.9134621;5149;2509;0.012;0.085;0.046;WRB;1933.348649
5;21;BH-01868;05.06.2021;-7.1656647;5114;2530;0.013;0.136;0.048;WRB;1892.532959
6;21;BH-01868;05.06.2021;-6.9619626;5080;2551;0.014;0.064;0.05;WRB;1852.571186
7;21;BH-01868;05.06.2021;-6.612759;5046;2572;0.013;0.115;0.045;WRB;1812.609445
8;21;BH-01868;05.06.2021;-6.4672575;5011;2593;0.013;0.107;0.043;WRB;1771.793724
9;21;BH-01868;05.06.2021;-7.485768;4977;2614;0.01;0.103;0.046;WRB;1731.831978
10;21;BH-01868;05.06.2021;-6.1083538;4942;2635;0.012;0.162;0.045;WRB;1691.016262
11;21;BH-01868;05.06.2021;-4.6242385;4908;2656;0.01;0.208;0.042;WRB;1651.054512
