"fishID"	"capt_date"	"TL_mm"	"weight"	"sex"	"area"	"age"	"cohort"	"lifeyear"	"inc_um"	"rad_um"	"core"	"sims_dist"	"d18O"	"comment"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	4	359.8	1491.6	229.3	1333.294041	-7.3790669	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	4	359.8	1491.6	229.3	1369.131842	-6.6321592	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	4	359.8	1491.6	229.3	1404.487095	-6.9910629	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	4	359.8	1491.6	229.3	1440.32531	-5.7203498	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	4	359.8	1491.6	229.3	1475.680521	-5.3711462	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	5	282.7	1694.3	229.3	1511.035737	-7.6312695	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	5	282.7	1694.3	229.3	1546.874268	-7.8640719	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	5	282.7	1694.3	229.3	1582.22944	-7.6215694	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	5	282.7	1694.3	229.3	1618.068293	-7.1268643	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	5	282.7	1694.3	229.3	1653.423418	-6.1762545	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	5	282.7	1694.3	229.3	1688.778553	-5.4196467	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	6	283.1	1917.4	229.3	1724.617639	-6.7582605	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	6	283.1	1917.4	229.3	1759.972727	-7.7476707	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	6	283.1	1917.4	229.3	1795.812073	-7.8931722	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	6	283.1	1917.4	229.3	1831.167114	-7.097764	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	6	283.1	1917.4	229.3	1866.522167	-6.6321592	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	6	283.1	1917.4	229.3	1902.36169	-5.0316427	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	7	227.1	2064.5	229.3	1937.716698	-7.4081672	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	7	227.1	2064.5	229.3	1973.071717	-8.64978	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	7	227.1	2064.5	229.3	2008.911397	-8.0192735	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	7	227.1	2064.5	229.3	2044.266372	-6.2053548	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	8	164.5	2169	229.3	2080.106247	-6.5254581	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	8	164.5	2169	229.3	2115.461179	-7.8446717	"OK"
"BH-00356"	"2019-07-09"	815	3000	"f"	"Peene"	7	2012	8	164.5	2169	229.3	2151.301234	-7.9222725	"OK"
